File,Type,Total Bytes,Used Bytes,Unused Bytes,Unused %
http://localhost:3000/forgot-password,JS,43,43,0,0.00%
http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_57cd06f1._.js,JS,730,719,11,1.51%
http://localhost:3000/forgot-password,JS,2153,2153,0,0.00%
http://localhost:3000/forgot-password,JS,2152,2152,0,0.00%
http://localhost:3000/forgot-password,JS,2149,2149,0,0.00%
http://localhost:3000/forgot-password,JS,2369,2369,0,0.00%
http://localhost:3000/forgot-password,JS,2348,2348,0,0.00%
http://localhost:3000/forgot-password,JS,2420,2420,0,0.00%
http://localhost:3000/forgot-password,JS,2397,2397,0,0.00%
http://localhost:3000/forgot-password,JS,1032,1032,0,0.00%
http://localhost:3000/forgot-password,JS,3288,3288,0,0.00%
http://localhost:3000/forgot-password,JS,415,415,0,0.00%
http://localhost:3000/forgot-password,JS,484,484,0,0.00%
http://localhost:3000/forgot-password,JS,130,130,0,0.00%
http://localhost:3000/forgot-password,JS,494,359,135,27.33%
http://localhost:3000/forgot-password,JS,16,16,0,0.00%
http://localhost:3000/_next/static/chunks/_e69f0d32._.js,JS,524,513,11,2.10%
http://localhost:3000/_next/static/chunks/ed0b0_%40swc_helpers_cjs_d9e50ee1._.js,JS,3538,3295,243,6.87%
http://localhost:3000/_next/static/chunks/node_modules_next_dist_0eb1e458._.js,JS,96117,34408,61709,64.20%
http://localhost:3000/_next/static/chunks/_3cde29d5._.js,JS,66866,27732,39134,58.53%
http://localhost:3000/_next/static/chunks/app_favicon_ico_mjs_636cbffb._.js,JS,260,244,16,6.15%
http://localhost:3000/_next/static/chunks/node_modules_next_dist_1a6ee436._.js,JS,118146,32922,85224,72.13%
http://localhost:3000/_next/static/chunks/_745935f6._.js,JS,262089,151392,110697,42.24%
http://localhost:3000/_next/static/chunks/node_modules_next_5a2d4d81._.js,JS,250660,68063,182597,72.85%
http://localhost:3000/_next/static/chunks/node_modules_%40popperjs_core_lib_229f7621._.js,JS,167271,67447,99824,59.68%
http://localhost:3000/_next/static/chunks/29970_%40mui_system_e0c528b0._.js,JS,245540,182873,62667,25.52%
http://localhost:3000/_next/static/chunks/app_layout_ce748aeb.js,JS,703,687,16,2.28%
http://localhost:3000/_next/static/chunks/node_modules_axios_lib_99999129._.js,JS,190459,92813,97646,51.27%
http://localhost:3000/_next/static/chunks/app_forgot-password_page_d3b8da1b.js,JS,304,288,16,5.26%
http://localhost:3000/_next/static/chunks/app_forgot-password_ForgotPassword_1112b5f2.js,JS,750,734,16,2.13%
http://localhost:3000/_next/static/chunks/node_modules_%40tanstack_query-core_build_modern_2df6024e._.js,JS,117636,28044,89592,76.16%
http://localhost:3000/_next/static/chunks/_fccd0adc._.js,JS,13869,10590,3279,23.64%
http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_8f19e6fb._.js,JS,998725,480887,517838,51.85%
http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_2ce9398a._.js,JS,1109620,500269,609351,54.92%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?0,JS,1119,1119,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?1,JS,1049,1049,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?2,JS,1013,1013,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?3,JS,1023,1023,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?4,JS,997,997,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?5,JS,1124,1124,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?6,JS,1114,1114,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?7,JS,1109,1109,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?8,JS,1104,1104,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?9,JS,1098,1098,0,0.00%
rsc://React/Server/C:%5CUsers%5Cadmin%5CDesktop%5CSunil%20Suthar%5CProjects%5Cmam%5Cmam_fornt_end%5C.next%5Cserver%5Cchunks%5Cssr%5C%5Broot-of-the-server%5D__162c7b1a._.js?10,JS,1089,1089,0,0.00%
http://localhost:3000/_next/static/chunks/node_modules_%40mui_material_55693122._.js,JS,1133696,738749,394947,34.84%
http://localhost:3000/_next/static/chunks/node_modules_20314e8b._.js,JS,612649,352551,260098,42.45%
http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_5791651e._.js,JS,286,270,16,5.59%
http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_61dcf9ba._.js,JS,15486,3258,12228,78.96%
http://localhost:3000/_next/static/chunks/app_forgot-password_ForgotPassword_1aa091df.js,JS,284,268,16,5.63%
http://localhost:3000/_next/static/chunks/_7f3e009a._.js,JS,62423,34234,28189,45.16%
http://localhost:3000/_next/static/chunks/node_modules_9e7e6a13._.js,JS,127794,38406,89388,69.95%
http://localhost:3000/_next/static/chunks/%5Broot-of-the-server%5D__b5ff13f7._.css,CSS,81470,9570,71900,88.25%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,0,2741,100.00%
http://localhost:3000/forgot-password,JS,2741,1277,1464,53.41%